denuncia_numero;fecha;hora;mins;hecho_provincia;hecho_municipio;hecho_localidad;hecho_discriminacion;hecho_irregularidades;hecho_lugar;hecho_cometido_por;hecho_tipo_violencia;hecho_accion_realizada;denuncia_estado;denuncia_fecha_cambio_estado;denuncia_via_ingreso;denuncia_fecha_hora_carga;hecho_provincia_id
2;15/8/2010;16;0;Santa Fe;Rosario;Rosario;;;En el interior del local;Personas vinculadas a la empresa;Agresión verbal;;Derivado;19/11/2015;Call Center;23/12/2010 11:59;82
3;20/11/2010;3;0;Ciudad Autónoma de Buenos Aires;Barrio Palermo;;;No exhibe nomina de personal de control habilitado;En el acceso local;Personal de empresas de seguridad;Agresión verbal - Agresión física;Se solicitó asistencia policial - Se hizo denuncia policial;Derivado;28/12/2010;Call Center;28/12/2010 11:29;2
4;18/12/2010;4;0;Buenos Aires;San Miguel;San Miguel;;;En el interior del local;Controladores;Agresión verbal;;Derivado;3/1/2011;Call Center;29/12/2010 15:44;6
5;23/10/2010;3;0;Entre Ríos;Paraná;PARANA;;;En el interior del local;;Agresión física;Se solicitó asistencia policial;Derivado;19/11/2015;Call Center;30/12/2010 09:58;30
6;30/11/2010;5;0;Mendoza;Mendoza;MENDOZA;;;En el acceso local;Controladores;Agresión física;Se solicitó asistencia policial;Derivado;19/11/2015;Call Center;30/12/2010 10:56;50
7;25/12/2010;6;0;Santiago del Estero;Sachayoj;SACHAYOJ;;;En el interior del local;Personal de empresas de seguridad;Agresión verbal - Agresión física;Se hizo denuncia policial;Derivado;3/1/2011;Call Center;3/1/2011 10:40;86
10;1/1/2011;5;0;Buenos Aires;Junín;Junín;;;;Personal de empresas de seguridad;Agresión física;;Derivado;6/1/2011;Call Center;6/1/2011 12:32;6
11;1/1/2011;3;0;Buenos Aires;Chacabuco;Chacabuco;Por orientacion sexual;;En el acceso local;Personas vinculadas a la empresa;;;Derivado;6/1/2011;Call Center;6/1/2011 12:51;6
13;29/12/2010;20;0;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;Capital Federal;Otros;El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia;;;;;Derivado;25/1/2011;Página web de RENCAP ;25/1/2011 11:41;2
14;31/12/2010;2;0;Buenos Aires;La Matanza;Ramos Mejía;Por indumentaria;El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia;En el acceso local;Controladores;Agresión verbal - Agresión física;;Derivado;26/1/2011;Call Center;26/1/2011 12:14;6
15;19/1/2011;3;30;Río Negro;San Carlos de Bariloche;SAN CARLOS DE BARILOCHE;Otros;El personal de control no esta identificado;En el interior del local - En las proximidades del local;Personal de empresas de seguridad;Agresión verbal - Agresión física;;Derivado;31/1/2011;Página web de RENCAP ;28/1/2011 11:15;62
16;22/1/2011;1;20;Buenos Aires;Lomas de Zamora;Lomas de Zamora;Por aspecto físico;;;;;;Derivado;31/1/2011;Página web de RENCAP ;29/1/2011 13:00;6
17;6/2/2011;2;0;Ciudad Autónoma de Buenos Aires;Barrio Villa del Parque;;Otros;;En el acceso local;Controladores;Agresión física;Se solicitó asistencia policial;Derivado;7/2/2011;Call Center;7/2/2011 12:10;2
18;5/2/2011;4;45;Ciudad Autónoma de Buenos Aires;Ciudad de Buenos Aires;Palermo;;El personal de control no esta identificado;En el interior del local;Controladores;Agresión verbal - Agresión física;Se solicitó asistencia policial;Derivado;8/2/2011;Call Center;8/2/2011 10:23;2
22;11/2/2011;2;0;Córdoba;Córdoba;CORDOBA;Por indumentaria;;En el acceso local;Controladores;;;Derivado;11/2/2011;Call Center;11/2/2011 16:24;14
23;9/2/2011;22;30;Ciudad Autónoma de Buenos Aires;Barrio San Nicolás;;Por aspecto físico - Por indumentaria;El personal de control no esta identificado;En el acceso local;Controladores;;;Derivado;11/2/2011;Call Center;11/2/2011 16:54;2
25;4/10/2010;18;30;Ciudad Autónoma de Buenos Aires;Barrio Almagro;;;;En el interior del local;Controladores;Agresión verbal - Agresión física;Se hizo denuncia policial;Desestimado;15/2/2011;Call Center;15/2/2011 10:57;2
27;4/10/2010;18;30;Ciudad Autónoma de Buenos Aires;Barrio Almagro;;;;En el interior del local;Controladores;Agresión verbal - Agresión física;Se hizo denuncia policial;Desestimado;21/2/2011;Call Center;15/2/2011 11:12;2
29;19/2/2011;2;30;Buenos Aires;La Plata;La Plata;;No exhibe condiciones de adminsión y permanencia - Presencia de menores;En el interior del local;Personal de empresas de seguridad;Agresión física;Se solicitó asistencia policial;Derivado;21/2/2011;Página web de RENCAP ;19/2/2011 18:04;6
30;14/8/2010;4;0;Buenos Aires;La Plata;La Plata;;;En el acceso local;Controladores;Agresión física;;Derivado;21/2/2011;Call Center;21/2/2011 11:26;6
31;28/11/2010;6;0;Buenos Aires;Quilmes;Quilmes;;;En las proximidades del local;Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa;Agresión verbal - Agresión física;Se solicitó asistencia policial - Se hizo denuncia policial;Derivado;25/2/2011;Página web de RENCAP ;24/2/2011 21:55;6
